"","Plant","Type","Treatment","conc","uptake"
"22","Qc1","Quebec","chilled",95,14.2
"23","Qc1","Quebec","chilled",175,24.1
"24","Qc1","Quebec","chilled",250,30.3
"25","Qc1","Quebec","chilled",350,34.6
"26","Qc1","Quebec","chilled",500,32.5
"27","Qc1","Quebec","chilled",675,35.4
"28","Qc1","Quebec","chilled",1000,38.7
"29","Qc2","Quebec","chilled",95,9.3
"30","Qc2","Quebec","chilled",175,27.3
"31","Qc2","Quebec","chilled",250,35
"32","Qc2","Quebec","chilled",350,38.8
"33","Qc2","Quebec","chilled",500,38.6
"34","Qc2","Quebec","chilled",675,37.5
"35","Qc2","Quebec","chilled",1000,42.4
"36","Qc3","Quebec","chilled",95,15.1
"37","Qc3","Quebec","chilled",175,21
"38","Qc3","Quebec","chilled",250,38.1
"39","Qc3","Quebec","chilled",350,34
"40","Qc3","Quebec","chilled",500,38.9
"41","Qc3","Quebec","chilled",675,39.6
"42","Qc3","Quebec","chilled",1000,41.4
"64","Mc1","Mississippi","chilled",95,10.5
"65","Mc1","Mississippi","chilled",175,14.9
"66","Mc1","Mississippi","chilled",250,18.1
"67","Mc1","Mississippi","chilled",350,18.9
"68","Mc1","Mississippi","chilled",500,19.5
"69","Mc1","Mississippi","chilled",675,22.2
"70","Mc1","Mississippi","chilled",1000,21.9
"71","Mc2","Mississippi","chilled",95,7.7
"72","Mc2","Mississippi","chilled",175,11.4
"73","Mc2","Mississippi","chilled",250,12.3
"74","Mc2","Mississippi","chilled",350,13
"75","Mc2","Mississippi","chilled",500,12.5
"76","Mc2","Mississippi","chilled",675,13.7
"77","Mc2","Mississippi","chilled",1000,14.4
"78","Mc3","Mississippi","chilled",95,10.6
"79","Mc3","Mississippi","chilled",175,18
"80","Mc3","Mississippi","chilled",250,17.9
"81","Mc3","Mississippi","chilled",350,17.9
"82","Mc3","Mississippi","chilled",500,17.9
"83","Mc3","Mississippi","chilled",675,18.9
"84","Mc3","Mississippi","chilled",1000,19.9
